"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CD36",5.78017,7.37028166666667,79.819331011399,1.27835275059711e-16,2.40982277015061e-12,26.7133720474061
"DUSP6",-4.21268333333333,9.106625,-62.5339202672522,1.88804007024189e-15,1.404284212928e-11,24.9705645215581
"DCT",5.63302666666667,8.76322,61.5848732330101,2.23481652898201e-15,1.404284212928e-11,24.8502084243764
"SPRY2",-3.80166333333333,9.72646833333333,-54.0255981714163,9.4640372708748e-15,4.46016416483152e-11,23.7697620656045
"MOXD1",3.26306333333333,10.171635,47.1471973700924,4.23944570771273e-14,1.3705456114425e-10,22.5588127568572
"ETV4",-3.84324666666667,9.66707666666667,-47.0250175816046,4.36224798082596e-14,1.3705456114425e-10,22.534947862647
"ETV5",-4.07852,8.86754,-45.0834329098375,6.93720179634593e-14,1.86818844375596e-10,22.1432747473651
"ST6GALNAC2",3.87512,9.47800666666667,44.0542649690156,8.94316161853876e-14,2.10734424588843e-10,21.925752857392
"DTL",-3.19328,10.5105933333333,-43.3212520401713,1.0755285628657e-13,2.25275432650903e-10,21.7664116866539
"NUPR1",3.03099666666667,9.59686833333333,41.4263820152576,1.75851086263983e-13,3.31496882716235e-10,21.3365506169288
"LDLR",-3.05364333333333,10.650445,-40.3444014447827,2.35201575688286e-13,4.03071354845444e-10,21.0788156797245
"SPRY4",-3.75289,8.564955,-37.8612069812597,4.72516544821445e-13,7.42284115535755e-10,20.4505550070653
"FST",-3.58683,10.0773183333333,-37.314275902085,5.5434376313677e-13,8.0384109837625e-10,20.3048331232888
"TXNIP",2.94854333333333,11.3127616666667,37.0100632438386,6.06449339078354e-13,8.16584035069004e-10,20.2225685468972
"CCND1",-2.48815666666667,10.616455,-36.5462757462241,6.9644631346554e-13,8.48999449977386e-10,20.0954484064987
"IER3",-2.64061,10.8155283333333,-36.4328925434841,7.20597909906009e-13,8.48999449977386e-10,20.0640533566602
"SERPINF1",3.10683,9.21985166666667,36.1883106166468,7.75863154516483e-13,8.60340960340602e-10,19.9958992545507
"FAM111B",-3.70844,8.50741333333333,-34.3570585170784,1.37112568423538e-12,1.30408582878723e-09,19.4661705255359
"CD24",3.32253333333333,6.98094666666667,34.3558586222736,1.37165064537938e-12,1.30408582878723e-09,19.4658117699463
"RNF150",2.43434666666667,9.49022666666667,34.3287439965254,1.38357204263671e-12,1.30408582878723e-09,19.4577005826911
"SCRG1",2.58137666666667,7.49189833333333,34.1632544212265,1.45882486419482e-12,1.30953845309222e-09,19.4080200411493
"SESN3",2.80125333333334,8.40787666666667,33.957313698833,1.55876349606398e-12,1.33564775746827e-09,19.3457722724283
"MR1",2.53182666666667,8.73486,33.5179609857454,1.79783761398021e-12,1.47352334178873e-09,19.2113797572355
"TGFA",-2.51893,9.914235,-33.0729789348233,2.08129278741097e-12,1.61209093864639e-09,19.0730089691996
"NT5E",-2.86284666666667,8.17669333333333,-32.9919946435364,2.13793822429366e-12,1.61209093864639e-09,19.0475776392125
"CEMIP",-3.33756,7.89746333333333,-32.7190936994073,2.3415399358822e-12,1.6977065127429e-09,18.9613070344911
"TRPM3",2.92491333333334,8.86901,32.5040670827313,2.51685517475394e-12,1.72389530095692e-09,18.8927037561299
"SLCO4A1",-2.57027,9.70583166666667,-32.4530037785914,2.56055744664972e-12,1.72389530095692e-09,18.8763300613733
"ITGB3",-3.162,10.2595333333333,-32.3385324549757,2.66156176044229e-12,1.73010692227923e-09,18.839508850842
"UBASH3B",-2.25201,9.67506166666667,-32.2122887416479,2.77801306086925e-12,1.74561080701487e-09,18.7987147552617
